index,questions,keys,datadic,col_name,assessment,domains,measures
175,break rules work elsewhere,ASR_23,ASR,"ASR,ASR_23",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
176,eat,ASR_24,ASR,"ASR,ASR_24",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
177,along people,ASR_25,ASR,"ASR,ASR_25",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
179,jealous others,ASR_27,ASR,"ASR,ASR_27",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
180,along badly family,ASR_28,ASR,"ASR,ASR_28",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
181,afraid animals situations places,ASR_29,ASR,"ASR,ASR_29",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
182,relations opposite sex poor,ASR_30,ASR,"ASR,ASR_30",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
183,afraid might think bad,ASR_31,ASR,"ASR,ASR_31",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
184,perfect,ASR_32,ASR,"ASR,ASR_32",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
185,one loves,ASR_33,ASR,"ASR,ASR_33",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
186,others,ASR_34,ASR,"ASR,ASR_34",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
187,worthless inferior,ASR_35,ASR,"ASR,ASR_35",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
188,accidentally hurt accident prone,ASR_36,ASR,"ASR,ASR_36",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
189,fights,ASR_37,ASR,"ASR,ASR_37",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
190,relations neighbors poor,ASR_38,ASR,"ASR,ASR_38",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
191,hang around people,ASR_39,ASR,"ASR,ASR_39",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
192,hear sounds voices people think,ASR_40,ASR,"ASR,ASR_40",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
193,impulsive act without thinking,ASR_41,ASR,"ASR,ASR_41",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
194,rather alone others,ASR_42,ASR,"ASR,ASR_42",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
195,lie cheat,ASR_43,ASR,"ASR,ASR_43",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
196,overwhelmed responsibilities,ASR_44,ASR,"ASR,ASR_44",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
197,nervous tense,ASR_45,ASR,"ASR,ASR_45",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
198,parts body twitch make nervous movements,ASR_46,ASR,"ASR,ASR_46",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
199,lack self confidence,ASR_47,ASR,"ASR,ASR_47",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
200,liked others,ASR_48,ASR,"ASR,ASR_48",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
201,things better people,ASR_49,ASR,"ASR,ASR_49",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
202,fearful anxious,ASR_50,ASR,"ASR,ASR_50",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
203,dizzy lightheaded,ASR_51,ASR,"ASR,ASR_51",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
205,planning future,ASR_53,ASR,"ASR,ASR_53",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
206,tired without good reason,ASR_54,ASR,"ASR,ASR_54",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
207,moods swing elation depression,ASR_55,ASR,"ASR,ASR_55",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
208,physical without known medical cause aches pains stomach headaches,ASR_56a,ASR,"ASR,ASR_56a",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
209,b physical without known medical cause headaches,ASR_56b,ASR,"ASR,ASR_56b",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
210,c physical without known medical cause nausea sick,ASR_56c,ASR,"ASR,ASR_56c",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
211,physical without known medical cause eyes glasses,ASR_56d,ASR,"ASR,ASR_56d",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
212,physically attack people,ASR_57,ASR,"ASR,ASR_57",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
213,pick skin parts body,ASR_58,ASR,"ASR,ASR_58",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
214,fail finish things,ASR_59,ASR,"ASR,ASR_59",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
215,enjoy,ASR_60,ASR,"ASR,ASR_60",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
216,work performance poor,ASR_61,ASR,"ASR,ASR_61",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
217,poorly coordinated clumsy,ASR_62,ASR,"ASR,ASR_62",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
218,rather older people people,ASR_63,ASR,"ASR,ASR_63",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
219,setting priorities,ASR_64,ASR,"ASR,ASR_64",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
220,refuse talk,ASR_65,ASR,"ASR,ASR_65",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
221,repeat acts,ASR_66,ASR,"ASR,ASR_66",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
222,making keeping friends,ASR_67,ASR,"ASR,ASR_67",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
223,scream yell,ASR_68,ASR,"ASR,ASR_68",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
224,secretive keep things,ASR_69,ASR,"ASR,ASR_69",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
225,see things people think,ASR_70,ASR,"ASR,ASR_70",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
226,self conscious eaily embarassed,ASR_71,ASR,"ASR,ASR_71",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
227,worry family,ASR_72,ASR,"ASR,ASR_72",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
228,meet responsibilities family,ASR_73,ASR,"ASR,ASR_73",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
229,show clown,ASR_74,ASR,"ASR,ASR_74",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
230,shy timid,ASR_75,ASR,"ASR,ASR_75",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
231,irresponsible,ASR_76,ASR,"ASR,ASR_76",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
232,sleep people night,ASR_77,ASR,"ASR,ASR_77",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
233,making decisions,ASR_78,ASR,"ASR,ASR_78",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
234,speech,ASR_79,ASR,"ASR,ASR_79",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
235,stand rights,ASR_80,ASR,"ASR,ASR_80",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
236,changeable,ASR_81,ASR,"ASR,ASR_81",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
237,steal,ASR_82,ASR,"ASR,ASR_82",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
238,bored,ASR_83,ASR,"ASR,ASR_83",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
239,things people think strange,ASR_84,ASR,"ASR,ASR_84",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
240,thoughts people think strange,ASR_85,ASR,"ASR,ASR_85",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
241,stubborn sullen irritable,ASR_86,ASR,"ASR,ASR_86",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
242,moods feelings change suddenly,ASR_87,ASR,"ASR,ASR_87",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
243,enjoy people,ASR_88,ASR,"ASR,ASR_88",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
244,rush things without considering risks,ASR_89,ASR,"ASR,ASR_89",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
245,drink alcohol drunk,ASR_90,ASR,"ASR,ASR_90",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
246,think killing,ASR_91,ASR,"ASR,ASR_91",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
247,things may cause law,ASR_92,ASR,"ASR,ASR_92",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
248,talk,ASR_93,ASR,"ASR,ASR_93",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
249,tease others,ASR_94,ASR,"ASR,ASR_94",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
250,hot temper,ASR_95,ASR,"ASR,ASR_95",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
251,passive lack initiative,ASR_96,ASR,"ASR,ASR_96",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
252,threaten hurt people,ASR_97,ASR,"ASR,ASR_97",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
253,like help others,ASR_98,ASR,"ASR,ASR_98",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
254,dislike staying one place long,ASR_99,ASR,"ASR,ASR_99",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
255,sleeping,ASR_100,ASR,"ASR,ASR_100",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
256,stay away job even sick vacation,ASR_101,ASR,"ASR,ASR_101",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
257,energy,ASR_102,ASR,"ASR,ASR_102",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
258,unhappy sad depressed,ASR_103,ASR,"ASR,ASR_103",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
259,louder others,ASR_104,ASR,"ASR,ASR_104",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
260,people think disorganized,ASR_105,ASR,"ASR,ASR_105",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
261,fair others,ASR_106,ASR,"ASR,ASR_106",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
262,succeed,ASR_107,ASR,"ASR,ASR_107",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
263,tend lose things,ASR_108,ASR,"ASR,ASR_108",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
264,like new things,ASR_109,ASR,"ASR,ASR_109",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
265,wish opposite sex,ASR_110,ASR,"ASR,ASR_110",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
266,keep getting involved others,ASR_111,ASR,"ASR,ASR_111",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
267,worry,ASR_112,ASR,"ASR,ASR_112",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
268,worrk relations opposite sex,ASR_113,ASR,"ASR,ASR_113",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
269,fail pay debts meet financial responsibilities,ASR_114,ASR,"ASR,ASR_114",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
270,restless fidgety,ASR_115,ASR,"ASR,ASR_115",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
271,upset,ASR_116,ASR,"ASR,ASR_116",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
272,managing money credit cards,ASR_117,ASR,"ASR,ASR_117",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
273,impatient,ASR_118,ASR,"ASR,ASR_118",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
274,good details,ASR_119,ASR,"ASR,ASR_119",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
275,drive fast,ASR_120,ASR,"ASR,ASR_120",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
276,tend late appointments,ASR_121,ASR,"ASR,ASR_121",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
277,keeping job,ASR_122,ASR,"ASR,ASR_122",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
278,happy person,ASR_123,ASR,"ASR,ASR_123",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
279,months times per use tobacco including smokeless tobacco,ASR_124,ASR,"ASR,ASR_124",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
280,months days drunk,ASR_125,ASR,"ASR,ASR_125",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
281,months days use drugs nonmedical purposes including marijuana cocaine drugs except alcohol nicotine,ASR_126,ASR,"ASR,ASR_126",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
282, anxious depressed,ASR_AD,ASR,"ASR,ASR_AD",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
284, withdrawn,ASR_WD,ASR,"ASR,ASR_WD",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
286, somatic,ASR_SC,ASR,"ASR,ASR_SC",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
288, thought,ASR_TP,ASR,"ASR,ASR_TP",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
290, attention,ASR_AP,ASR,"ASR,ASR_AP",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
292, rule breaking,ASR_RBB,ASR,"ASR,ASR_RBB",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
294, aggressive,ASR_AB,ASR,"ASR,ASR_AB",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
296,,ASR_OP,ASR,"ASR,ASR_OP",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
297, internalizing,ASR_Int,ASR,"ASR,ASR_Int",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
299, externalizing,ASR_Ext,ASR,"ASR,ASR_Ext",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
301, intrusive,ASR_Intrusive,ASR,"ASR,ASR_Intrusive",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
303, c,ASR_C,ASR,"ASR,ASR_C",Child Measures,Questionnaire_Measures_of_Emotional_and_Cognitive_Status,Adult Self Report 
306,old fashioned precocious,ASSQ_01,ASSQ,"ASSQ,ASSQ_01",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
307,regarded eccentric professor th,ASSQ_02,ASSQ,"ASSQ,ASSQ_02",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
308,lives somewhat world restricted idiosyncratic intellectual interests,ASSQ_03,ASSQ,"ASSQ,ASSQ_03",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
309,accumulates facts subjects good rote memory really understand meaning,ASSQ_04,ASSQ,"ASSQ,ASSQ_04",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
310,literal understanding ambiguous metaphoric language takes things literally troubles understanding expressions metaphors,ASSQ_05,ASSQ,"ASSQ,ASSQ_05",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
311,deviant style communication formal fussy old fashioned robotlike language talks differently,ASSQ_06,ASSQ,"ASSQ,ASSQ_06",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
312,invents idiosyncratic words expressions makes words expressions names things,ASSQ_07,ASSQ,"ASSQ,ASSQ_07",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
313,different voice speech,ASSQ_08,ASSQ,"ASSQ,ASSQ_08",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
314,expresses sounds involuntarily clears throat grunts smacks cries screams,ASSQ_09,ASSQ,"ASSQ,ASSQ_09",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
315,surprisingly good things surprisingly poor others,ASSQ_10,ASSQ,"ASSQ,ASSQ_10",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
316,uses language freely fails make adjustments fit social contexts needs different listeners,ASSQ_11,ASSQ,"ASSQ,ASSQ_11",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
317,lacks empathy tends see things perspective troubles seeing things perspective,ASSQ_12,ASSQ,"ASSQ,ASSQ_12",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
318,makes na embarrassing,ASSQ_13,ASSQ,"ASSQ,ASSQ_13",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
319,deviant style gaze may looking people eye extreme staring directly people point makes uncomfortable,ASSQ_14,ASSQ,"ASSQ,ASSQ_14",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
320,wishes sociable fails make relationships peers,ASSQ_15,ASSQ,"ASSQ,ASSQ_15",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
321,children terms,ASSQ_16,ASSQ,"ASSQ,ASSQ_16",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
322,lacks best friend,ASSQ_17,ASSQ,"ASSQ,ASSQ_17",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
323,lacks common sense,ASSQ_18,ASSQ,"ASSQ,ASSQ_18",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
324,poor games idea cooperating team ow,ASSQ_19,ASSQ,"ASSQ,ASSQ_19",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
325,clumsy ill coordinated ungainly awkward movements gestures,ASSQ_20,ASSQ,"ASSQ,ASSQ_20",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
326,involuntary face body movements tics,ASSQ_21,ASSQ,"ASSQ,ASSQ_21",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
327,completing simple daily activities compulsory repetition actions thoughts habits,ASSQ_22,ASSQ,"ASSQ,ASSQ_22",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
328,special routines insists change may need exactly change troubles even slightest change environment routines activities,ASSQ_23,ASSQ,"ASSQ,ASSQ_23",Parent Measures,Demographic_Questionnaire_Measures,Autism Spectrum Screening Questionnaire
